Data,Dzień tygodnia,Godzina od,Godzina do,Przedmiot,Typ zajęć,Prowadzący,Sala
04.10.2025,Sobota,08:00,11:15,Programowanie w języku C#,laboratorium,mgr inż. Mirosław Najbuk,312
04.10.2025,Sobota,11:30,14:45,Testowanie aplikacji,"wykład, laboratorium",mgr inż. Fridgles-Glodi,312
04.10.2025,Sobota,15:00,16:30,Automatyzacja,wykład konwersatoryjny,mgr inż. Fridgles-Glodi,312
05.10.2025,Niedziela,08:00,09:30,Programowanie JavaScript,wykład konwersatoryjny,mgr Przemysław Sienkiewicz,302
05.10.2025,Niedziela,09:45,11:15,Wprowadzenie do programowania na platformie. NET Framework,laboratorium,mgr Przemysław Sienkiewicz,302
05.10.2025,Niedziela,11:30,13:00,Wprowadzenie do programowania na platformie. NET Framework,wykład,mgr Przemysław Sienkiewicz,309
05.10.2025,Niedziela,13:15,14:45,Technologie internetowe,wykład,mgr Przemysław Sienkiewicz,309
05.10.2025,Niedziela,15:00,16:30,Technologie internetowe,laboratorium,mgr Przemysław Sienkiewicz,312
05.10.2025,Niedziela,16:45,20:00,Zarządzanie projektami informatycznymi,"wykład, laboratorium",lic. Michał Korwel,312
17.10.2025,Piątek,17:00,20:00,Zarządzanie projektami informatycznymi,"wykład, laboratorium",lic. Michał Korwel,TEAMS
18.10.2025,Sobota,08:00,11:15,Programowanie w języku C#,laboratorium,mgr inż. Mirosław Najbuk,312
18.10.2025,Sobota,12:00,15:00,Testowanie aplikacji,"wykład, laboratorium",mgr inż. Fridgles-Glodi,TEAMS
18.10.2025,Sobota,15:15,16:45,Automatyzacja,wykład konwersatoryjny,mgr inż. Fridgles-Glodi,TEAMS
19.10.2025,Niedziela,08:00,09:30,Programowanie JavaScript,wykład konwersatoryjny,mgr Przemysław Sienkiewicz,302
19.10.2025,Niedziela,09:45,11:15,Wprowadzenie do programowania na platformie. NET Framework,laboratorium,mgr Przemysław Sienkiewicz,302
19.10.2025,Niedziela,11:30,13:00,Wprowadzenie do programowania na platformie. NET Framework,wykład,mgr Przemysław Sienkiewicz,309
19.10.2025,Niedziela,13:15,14:45,Technologie internetowe,wykład,mgr Przemysław Sienkiewicz,309
